grid_id,price_2014,price_2020
E1254N4899,78.0,138.0
E1257N4899,272.0,436.0
E1258N4899,305.0,508.0
E1227N4898,172.0,333.0
E1228N4898,167.0,327.0
E1229N4898,166.0,323.0
E1230N4898,156.0,290.0
E1234N4898,487.0,880.0
E1248N4898,170.0,286.0
E1249N4898,167.0,285.0
E1250N4898,149.0,274.0
E1252N4898,213.0,340.0
E1255N4898,176.0,305.0
E1256N4898,251.0,415.0
E1257N4898,301.0,508.0
E1258N4898,184.0,309.0
E1259N4898,142.0,236.0
E1226N4897,176.0,309.0
E1227N4897,177.0,329.0
E1228N4897,177.0,344.0
E1229N4897,186.0,367.0
E1230N4897,157.0,310.0
E1235N4897,138.0,238.0
E1236N4897,188.0,327.0
E1238N4897,303.0,566.0
E1245N4897,140.0,256.0
E1248N4897,170.0,302.0
E1249N4897,140.0,250.0
E1250N4897,146.0,259.0
E1251N4897,148.0,265.0
E1252N4897,148.0,256.0
E1254N4897,142.0,261.0
E1255N4897,145.0,263.0
E1256N4897,330.0,312.0
E1258N4897,183.0,319.0
E1259N4897,144.0,239.0
E1282N4897,514.0,707.0
E1227N4896,191.0,245.0
E1228N4896,183.0,361.0
E1229N4896,174.0,326.0
E1235N4896,173.0,318.0
E1236N4896,174.0,319.0
E1237N4896,170.0,278.0
E1238N4896,184.0,323.0
E1240N4896,251.0,487.0
E1241N4896,301.0,535.0
E1244N4896,193.0,300.0
E1245N4896,174.0,295.0
E1246N4896,175.0,307.0
E1247N4896,156.0,259.0
E1248N4896,167.0,297.0
E1249N4896,144.0,259.0
E1250N4896,139.0,249.0
E1251N4896,139.0,249.0
E1252N4896,145.0,252.0
E1253N4896,148.0,255.0
E1255N4896,148.0,266.0
E1256N4896,181.0,299.0
E1258N4896,121.0,190.0
E1259N4896,148.0,242.0
E1282N4896,519.0,794.0
E1198N4895,252.0,440.0
E1199N4895,247.0,433.0
E1200N4895,255.0,459.0
E1201N4895,239.0,400.0
E1202N4895,247.0,409.0
E1211N4895,443.0,712.0
E1227N4895,184.0,346.0
E1229N4895,174.0,328.0
E1235N4895,203.0,369.0
E1236N4895,175.0,298.0
E1237N4895,172.0,281.0
E1238N4895,174.0,306.0
E1239N4895,177.0,300.0
E1240N4895,180.0,314.0
E1241N4895,324.0,592.0
E1243N4895,182.0,321.0
E1244N4895,183.0,276.0
E1245N4895,178.0,299.0
E1246N4895,155.0,270.0
E1247N4895,189.0,321.0
E1248N4895,193.0,368.0
E1249N4895,189.0,327.0
E1250N4895,142.0,260.0
E1251N4895,142.0,257.0
E1252N4895,139.0,255.0
E1253N4895,137.0,247.0
E1254N4895,139.0,253.0
E1255N4895,219.0,357.0
E1256N4895,219.0,404.0
E1259N4895,143.0,275.0
E1260N4895,142.0,259.0
E1281N4895,408.0,669.0
E1282N4895,399.0,597.0
E1198N4894,253.0,455.0
E1199N4894,257.0,465.0
E1200N4894,220.0,400.0
E1201N4894,179.0,339.0
E1202N4894,199.0,361.0
E1203N4894,272.0,449.0
E1204N4894,208.0,364.0
E1227N4894,170.0,321.0
E1229N4894,181.0,333.0
E1235N4894,251.0,459.0
E1236N4894,174.0,291.0
E1237N4894,183.0,308.0
E1238N4894,186.0,325.0
E1239N4894,213.0,370.0
E1240N4894,232.0,371.0
E1241N4894,327.0,582.0
E1242N4894,450.0,793.0
E1243N4894,447.0,819.0
E1244N4894,197.0,328.0
E1245N4894,212.0,292.0
E1246N4894,206.0,328.0
E1247N4894,178.0,293.0
E1248N4894,184.0,345.0
E1249N4894,170.0,309.0
E1250N4894,195.0,345.0
E1251N4894,185.0,324.0
E1252N4894,143.0,261.0
E1253N4894,142.0,258.0
E1254N4894,140.0,257.0
E1255N4894,163.0,262.0
E1256N4894,160.0,274.0
E1260N4894,142.0,258.0
E1261N4894,147.0,268.0
E1199N4893,237.0,433.0
E1200N4893,204.0,376.0
E1201N4893,248.0,318.0
E1202N4893,215.0,369.0
E1203N4893,200.0,349.0
E1204N4893,201.0,342.0
E1205N4893,182.0,301.0
E1206N4893,210.0,321.0
E1207N4893,238.0,394.0
E1212N4893,450.0,716.0
E1222N4893,158.0,222.0
E1223N4893,148.0,217.0
E1224N4893,156.0,257.0
E1225N4893,144.0,245.0
E1226N4893,153.0,290.0
E1229N4893,180.0,325.0
E1235N4893,310.0,537.0
E1236N4893,283.0,484.0
E1237N4893,342.0,479.0
E1238N4893,367.0,611.0
E1239N4893,463.0,698.0
E1241N4893,391.0,600.0
E1242N4893,462.0,788.0
E1243N4893,384.0,688.0
E1244N4893,622.0,954.0
E1245N4893,609.0,908.0
E1246N4893,292.0,494.0
E1247N4893,184.0,367.0
E1249N4893,159.0,262.0
E1250N4893,180.0,313.0
E1251N4893,195.0,336.0
E1252N4893,187.0,331.0
E1253N4893,165.0,290.0
E1255N4893,192.0,314.0
E1256N4893,146.0,226.0
E1257N4893,155.0,252.0
E1258N4893,237.0,402.0
E1259N4893,162.0,296.0
E1260N4893,145.0,261.0
E1261N4893,151.0,176.0
E1283N4893,375.0,583.0
E1201N4892,214.0,357.0
E1202N4892,269.0,486.0
E1203N4892,191.0,353.0
E1204N4892,207.0,354.0
E1205N4892,226.0,408.0
E1206N4892,229.0,403.0
E1207N4892,256.0,466.0
E1208N4892,201.0,359.0
E1210N4892,185.0,321.0
E1211N4892,375.0,656.0
E1212N4892,280.0,431.0
E1222N4892,189.0,278.0
E1223N4892,150.0,216.0
E1224N4892,146.0,214.0
E1225N4892,154.0,227.0
E1226N4892,152.0,246.0
E1227N4892,158.0,245.0
E1228N4892,170.0,272.0
E1233N4892,181.0,361.0
E1235N4892,170.0,339.0
E1247N4892,386.0,582.0
E1248N4892,172.0,288.0
E1249N4892,173.0,291.0
E1250N4892,169.0,282.0
E1251N4892,161.0,279.0
E1252N4892,160.0,267.0
E1255N4892,340.0,611.0
E1256N4892,151.0,243.0
E1257N4892,146.0,220.0
E1258N4892,148.0,271.0
E1259N4892,207.0,369.0
E1261N4892,152.0,265.0
E1201N4891,154.0,299.0
E1202N4891,182.0,314.0
E1203N4891,217.0,370.0
E1204N4891,204.0,351.0
E1205N4891,222.0,422.0
E1206N4891,259.0,443.0
E1207N4891,311.0,558.0
E1208N4891,216.0,383.0
E1209N4891,207.0,372.0
E1210N4891,233.0,405.0
E1211N4891,220.0,363.0
E1212N4891,305.0,516.0
E1222N4891,192.0,316.0
E1223N4891,187.0,331.0
E1224N4891,154.0,226.0
E1225N4891,164.0,244.0
E1226N4891,151.0,229.0
E1227N4891,165.0,247.0
E1228N4891,146.0,261.0
E1229N4891,169.0,314.0
E1232N4891,179.0,348.0
E1233N4891,175.0,344.0
E1235N4891,177.0,353.0
E1248N4891,344.0,601.0
E1249N4891,190.0,325.0
E1250N4891,177.0,315.0
E1251N4891,182.0,305.0
E1252N4891,168.0,279.0
E1255N4891,431.0,752.0
E1256N4891,204.0,352.0
E1257N4891,286.0,509.0
E1258N4891,278.0,496.0
E1181N4890,298.0,524.0
E1182N4890,354.0,641.0
E1204N4890,223.0,382.0
E1205N4890,221.0,373.0
E1206N4890,282.0,486.0
E1207N4890,281.0,472.0
E1208N4890,232.0,366.0
E1209N4890,274.0,475.0
E1210N4890,289.0,421.0
E1211N4890,358.0,464.0
E1224N4890,159.0,257.0
E1225N4890,152.0,225.0
E1226N4890,156.0,235.0
E1227N4890,217.0,412.0
E1228N4890,175.0,321.0
E1231N4890,172.0,337.0
E1232N4890,153.0,276.0
E1233N4890,208.0,399.0
E1249N4890,256.0,417.0
E1250N4890,193.0,332.0
E1251N4890,183.0,333.0
E1252N4890,194.0,335.0
E1256N4890,360.0,664.0
E1258N4890,258.0,427.0
E1204N4889,176.0,308.0
E1205N4889,183.0,349.0
E1206N4889,202.0,359.0
E1207N4889,209.0,324.0
E1208N4889,330.0,447.0
E1209N4889,334.0,525.0
E1210N4889,322.0,502.0
E1211N4889,376.0,563.0
E1212N4889,505.0,918.0
E1218N4889,491.0,720.0
E1219N4889,267.0,487.0
E1230N4889,169.0,334.0
E1232N4889,169.0,337.0
E1233N4889,207.0,383.0
E1250N4889,230.0,375.0
E1251N4889,227.0,389.0
E1256N4889,457.0,758.0
E1257N4889,329.0,569.0
E1181N4888,302.0,473.0
E1205N4888,159.0,273.0
E1206N4888,219.0,367.0
E1207N4888,217.0,324.0
E1208N4888,298.0,437.0
E1209N4888,474.0,701.0
E1210N4888,328.0,496.0
E1211N4888,624.0,1014.0
E1212N4888,362.0,570.0
E1213N4888,410.0,678.0
E1218N4888,464.0,724.0
E1219N4888,303.0,489.0
E1225N4888,166.0,291.0
E1228N4888,165.0,320.0
E1229N4888,174.0,346.0
E1230N4888,172.0,340.0
E1234N4888,210.0,352.0
E1250N4888,359.0,612.0
E1251N4888,345.0,616.0
E1255N4888,341.0,552.0
E1256N4888,337.0,538.0
E1196N4887,316.0,546.0
E1197N4887,248.0,417.0
E1198N4887,227.0,399.0
E1199N4887,238.0,396.0
E1200N4887,261.0,417.0
E1201N4887,231.0,372.0
E1202N4887,225.0,374.0
E1203N4887,243.0,405.0
E1207N4887,332.0,519.0
E1208N4887,263.0,456.0
E1209N4887,428.0,639.0
E1210N4887,310.0,495.0
E1211N4887,395.0,613.0
E1212N4887,514.0,843.0
E1213N4887,433.0,704.0
E1218N4887,680.0,929.0
E1219N4887,421.0,593.0
E1223N4887,157.0,293.0
